hotel_name,rating,review_count,hotel_rank,amenities,languages,hotel_class,price,best_price_source,restraunts_nearby,attractions_nearby,good_for_walkers_out_of_100,lat_long_link,best_features_as_per_reviews,city,cuisines,restaurant_names,lat,lon
LCS Shoreditch Apartments,2.0,3.0,883.0,[],['None'],[],,,151.0,39.0,99.0,"Tower View House 134 Kingsland Road, London E2 8DY England","['Location', 'Service']",London,{},[],51.53079275,-0.07688874507040913
MyHome - Canada Water,1.0,1.0,447.0,[],['None'],[],,,15.0,1.0,57.0,"Yeomon Street Canon Wharf 612, London SE8 5EN England",[],London,{},[],,
Elegant Plus Luxury Apartments,1.0,1.0,880.0,[],['None'],[],,,53.0,4.0,84.0,"228-232 Trafalgar Road Culpin Court, London SE10 9ER England",[],London,{},[],,
City Studios,1.0,1.0,904.0,[],['None'],[],,,254.0,48.0,100.0,"44 Alie Street, London E1 8DA England",[],London,{},[],51.513816999999996,-0.0709135
Keysan House 3,2.0,3.0,879.0,[],['None'],[],,,281.0,33.0,82.0,"142 Goldhawk Road Hammersmith and Fulham, London W12 8HH England","['Cleanliness', 'Service']",London,{},[],51.5017219,-0.2312277931155849
MyLo Nine Elms Point - Vauxhall,1.0,1.0,903.0,[],['None'],[],,,46.0,16.0,91.0,"Vivian Holzl, 50 Wandsworth Road, flat 10, Road Nine Elms point, London SW8 2EW England",[],London,{},[],,
OYO Flagship Huttons,1.0,1.0,457.0,[],['None'],[],5465.0,Expedia,,,,,"['Cleanliness', 'Service']",London,{},[],44.933143,7.540121000000001
Stayo Berwick Street,1.0,1.0,901.0,"['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Washing machine', 'Air conditioning', 'Dining area', 'Seating area', 'Separate dining area', 'Coffee / tea maker', 'Flatscreen TV', 'Sofa bed', 'Bath / shower', 'Separate living room', 'Sofa', 'Iron', 'Private bathrooms', 'Dishwasher', 'Microwave', 'Refrigerator', 'Stovetop', 'Electric kettle', 'Kitchenware', 'City view']",['None'],[],,,942.0,237.0,100.0,"10 Evelyn Yard, London W1T 1AU England",[],London,{},[],51.5167352,-0.13304770000000002
Sonder | Rose Street,1.0,1.0,900.0,"['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Wifi', 'Complimentary instant cofffee', '24-hour front desk', 'Express check-in / check-out', 'Clothes dryer', 'Self-serve laundry', 'Complimentary tea', 'Washing machine', 'Air conditioning', 'Dining area', 'Sofa', 'Clothes rack', 'Coffee / tea maker', 'Dishwasher', 'Cable / satellite TV', 'Bath / shower', 'Iron', 'Private bathrooms', 'Microwave', 'Oven', 'Refrigerator', 'Stovetop', 'Electric kettle', 'Kitchenware', 'Flatscreen TV', 'Complimentary toiletries', 'Hair dryer', 'Family rooms']","['English', 'French', 'Spanish']",[],,,1050.0,387.0,100.0,"34 Rose Street, London WC2E 9EB England","['Location', 'Cleanliness', 'Service', 'Value']",London,{},[],51.5116308,-0.1258765
Hyde Park Apartments,1.0,1.0,899.0,[],['None'],[],,,164.0,19.0,100.0,"46 Queens Gardens, London W2 3AA England",[],London,{},[],51.5833174,-0.2200663
The Albion,1.5,2.0,898.0,[],['None'],[],,,20.0,6.0,83.0,"102 Blundell Street, London N7 9BL England","['Service', 'Value']",London,{},[],51.5439508,-0.12321800000000001
Westminster Edgware Road Apartments,1.0,1.0,897.0,['Children Activities (Kid / Family Friendly)'],['None'],[],,,107.0,13.0,100.0,"Bishops Bridge 1A Sheldon Square, London W2 6PY England",[],London,{},[],,
YKP Apartments - Mornington Crescent,1.0,1.0,896.0,[],['None'],[],,,,,,,"['Location', 'Cleanliness', 'Service', 'Value']",London,{},[],44.933143,7.540121000000001
The Art Inn,1.0,1.0,893.0,['Children Activities (Kid / Family Friendly)'],['None'],[],,,443.0,83.0,100.0,"32 Hanbury Street, London E1 6QR England",[],London,{},[],51.5201955,-0.0722752524666666
Kensington Apartments,2.0,3.0,895.0,[],['None'],[],,,38.0,8.0,88.0,"Talgarth Road West Kensington, London W14 9DB England","['Cleanliness', 'Service', 'Value']",London,{},[],51.49090820000001,-0.2071819
Sonder | The Prince,1.0,1.0,456.0,"['Free High Speed Internet (WiFi)', 'Internet', 'Complimentary instant cofffee', 'Complimentary tea', 'Express check-in / check-out', 'Private check-in / check-out', 'Air conditioning', 'Iron', 'Private bathrooms', 'Coffee / tea maker', 'Flatscreen TV', 'Non-smoking rooms', 'Family rooms']","['English', 'French', 'Spanish']",[],14598.0,Hotels.com,39.0,8.0,93.0,"49 Black Prince Road, London SE11 6AB England",[],London,{},[],51.491328,-0.11817568683739
Jubilee Nice Rooms,1.5,3.0,891.0,"['Video game console', 'Shared bathroom', 'Clothes dryer', 'Washing machine', 'Desk', 'Safe', 'Iron', 'Laptop safe', 'Coffee / tea maker', 'Kitchenette', 'Complimentary toiletries', 'Hair dryer', 'Wake-up service / alarm clock', 'Dishwasher', 'Microwave', 'Refrigerator', 'Kitchenware']",['None'],[],,,24.0,3.0,83.0,"26 Jubilee Street, London E1 3EQ England","['Location', 'Cleanliness', 'Service', 'Value']",London,{},[],51.5159344,-0.0530852
Brick Lane Studios,1.0,1.0,894.0,[],['None'],[],,,431.0,68.0,100.0,"43 Brick Lane, London E1 6PU England",[],London,{},[],51.518644200000004,-0.07164754296577887
Private Rooms in Poplar,1.0,1.0,454.0,[],['None'],[],,,187.0,27.0,84.0,"Elgin House Ricardo Street, London E14 6EG England",[],London,{},[],51.51328255,-0.018540498623938244
Lux St James Park Apartment,1.0,1.0,453.0,[],['None'],[],,,118.0,24.0,100.0,"Ashburnham Mews, London SW1P 4BY England",[],London,{},[],,
Lexham Gardens Kensington Apartments,2.0,5.0,906.0,[],['None'],[],,,132.0,6.0,100.0,"Lexham Gardens, London W8 5JJ England","['Location', 'Service', 'Value']",London,{},[],51.495319099999996,-0.18970610000000002
Bow City Apartments,2.0,4.0,892.0,"['Free High Speed Internet (WiFi)', 'Shuttle bus service', 'Baggage storage', 'Non-smoking hotel', '24-hour front desk', 'Seating area', 'Iron', 'Wake-up service / alarm clock', 'Kitchenette', 'Microwave', 'Refrigerator', 'Flatscreen TV', 'Hair dryer', 'Family rooms']",['English'],[],,,14.0,2.0,67.0,"94 Bow Road, London E3 3AA England","['Location', 'Cleanliness', 'Service', 'Value']",London,{},[],51.5281712,-0.0196814
Shoreditch London Apartments,1.0,1.0,890.0,[],['None'],[],,,,,,,[],London,{},[],44.933143,7.540121000000001
Nice Double Room in Stratford,1.5,3.0,922.0,"['Free High Speed Internet (WiFi)', 'Airport transportation', 'Baggage storage', 'Non-smoking hotel', '24-hour front desk', 'Family rooms']","['English', 'Hindi', 'Urdu']",[],,,120.0,18.0,60.0,"10 Hartland Road, London E15 4AR England",[],London,{},[],51.539848299999996,0.01148195616598647
Whitechapel Nice Rooms,1.0,2.0,923.0,"['Free High Speed Internet (WiFi)', 'Shared bathroom', 'Desk', 'Housekeeping', 'Iron', 'Kitchenette', 'Kitchenware']",['Thai'],[],,,72.0,17.0,86.0,"Collingwood Street Flat 34, Bullen House, London E1 5DY England","['Service', 'Value']",London,{},[],,
